,fips,county,name,industry_code,industry_detail,relevant_naics,year,payann_total,ACID,ENRG,ETOX,EUTR,FOOD,GCC,HAPS,HAZW,HC,HNC,HRSP,HTOX,JOBS,LAND,METL,MINE,MSW,NREN,OZON,PEST,REN,SMOG,VADD,WATR
40,13001,1,"Appling County, Georgia",541940,veterinarians,[54194],2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,13001,1,"Appling County, Georgia",5419a0,"marketing research and all other miscellaneous professional, scientific, and technical services","[54191, 54193, 54199]",2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,13001,1,"Appling County, Georgia",550000,company and enterprise management,[55],2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,13001,1,"Appling County, Georgia",561700,buildings and dwellings services,[5617],2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,13001,1,"Appling County, Georgia",611100,elementary and secondary schools,[6111],2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,13001,1,"Appling County, Georgia",611b00,other educational services,"[6114, 6115, 6116, 6117]",2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,13001,1,"Appling County, Georgia",621100,physicians,[6211],2012,3331,0.0008291203068935653,0.0,0.00082220814411203,0.00010426029024243414,2.771979213166181,3.79350896000735,0.0002695650362294093,0.061316457616289705,3.1931399885665714e-10,6.038723553175694e-10,0.0001112762574959064,9.238648823615351e-10,8227055.5357772205,3.5663388803869003,6.6603555852894926e-09,0.0,12.538943019463696,0.0,0.0,0.0,0.0,0.0360232394395577,2139.688485864776,0.4709521739869941
47,13001,1,"Appling County, Georgia",621200,dentists,[6212],2012,870,0.00041195159449301577,0.0,0.000408531652331534,5.179910586131477e-05,0.9493183815276002,2.223226557006796,0.00013392200908502136,0.020999084405381164,1.5865238114046702e-10,3.000356313731495e-10,5.528803398432918e-05,4.5902514187718877e-10,775257.0,0.7480906907300701,3.3033024147837995e-09,0.0,4.294019572551908,0.0,0.0,0.0,0.0,0.017898668384744534,560.03517844257,0.234329832322197
48,13001,1,"Appling County, Georgia",621300,healthcare practitioners (except physicians and dentists),[6213],2012,239,0.00015254965341096263,0.0,0.00015301823469868534,1.9327650373304423e-05,0.27202919445525997,0.6799598589842677,0.00016768544364250456,0.00596857691223287,6.396564218596862e-11,1.2102599821157248e-10,2.0473692867886775e-05,1.8511825067496337e-10,197112.797126748,0.182108392320217,5.054420047084677e-09,0.0,1.2341802038058547,0.0,0.0,0.0,0.0,0.013446740779466754,164.673788705058,0.003402002689528909
49,13001,1,"Appling County, Georgia",621400,outpatient healthcare,[6214],2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,13001,1,"Appling County, Georgia",621600,home healthcare,[6216],2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
