------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'inc', 'demo': '00010', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_004.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Income: Median family income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"Guadalupe County",48187,75855.000000000,"434 of 3141"
"Ward County",48475,76033.000000000,"424 of 3141"
"Austin County",48015,77360.000000000,"379 of 3141"
"Ellis County",48139,77682.000000000,"366 of 3141"
"Archer County",48009,77962.000000000,"359 of 3141"
"Andrews County",48003,79260.000000000,"330 of 3141"
"Carson County",48065,79333.000000000,"329 of 3141"
"Stonewall County",48433,79643.000000000,"321 of 3141"
"Hays County",48209,80194.000000000,"307 of 3141"
"Galveston County",48167,81498.000000000,"282 of 3141"
"Randall County",48381,81653.000000000,"279 of 3141"
"Wilson County",48493,82157.000000000,"269 of 3141"
"Parker County",48367,82185.000000000,"268 of 3141"
"Borden County",48033,82250.000000000,"266 of 3141"
"Martin County",48317,82844.000000000,"255 of 3141"
"Irion County",48235,83810.000000000,"241 of 3141"
"Comal County",48091,85829.000000000,"214 of 3141"
"Roberts County",48393,86250.000000000,"208 of 3141"
"Armstrong County",48011,86389.000000000,"205 of 3141"
"Montgomery County",48339,87145.000000000,"195 of 3141"
"Travis County",48453,87167.000000000,"194 of 3141"
"Brazoria County",48039,88389.000000000,"185 of 3141"
"Midland County",48329,89196.000000000,"176 of 3141"
"Chambers County",48071,90360.000000000,"159 of 3141"
"Williamson County",48491,93076.000000000,"127 of 3141"
"Loving County",48301,93125.000000000,"125 of 3141"
