------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"Parmer County",48369,62.4,6161,"48 of 3141"
"Bailey County",48017,62.7,4447,"47 of 3141"
"Crane County",48103,62.8,3036,"46 of 3141"
"Nueces County",48355,63.0,225811,"44 of 3141"
"Atascosa County",48013,63.5,30585,"43 of 3141"
"Castro County",48069,63.9,5039,"40 of 3141"
"Yoakum County",48501,65.0,5516,"39 of 3141"
"Crockett County",48105,66.1,2537,"37 of 3141"
"Pecos County",48371,68.5,10822,"34 of 3141"
"Reagan County",48383,70.1,2620,"33 of 3141"
"Uvalde County",48463,70.9,19158,"32 of 3141"
"Deaf Smith County",48117,71.6,13574,"30 of 3141"
"Kleberg County",48273,72.3,22819,"29 of 3141"
"Reeves County",48389,75.0,11096,"28 of 3141"
"Hudspeth County",48229,78.4,2901,"26 of 3141"
"Frio County",48163,78.5,15006,"25 of 3141"
"La Salle County",48283,79.9,5928,"23 of 3141"
"Jim Wells County",48249,80.2,33151,"22 of 3141"
"Culberson County",48109,80.7,1821,"21 of 3141"
"Val Verde County",48465,81.4,39855,"20 of 3141"
"Presidio County",48377,81.4,5854,"19 of 3141"
"El Paso County",48141,82.2,686173,"17 of 3141"
"Dimmit County",48127,86.5,9362,"14 of 3141"
"Willacy County",48489,88.0,19208,"13 of 3141"
"Kenedy County",48261,88.5,499,"12 of 3141"
"Duval County",48131,89.3,10211,"11 of 3141"
"Cameron County",48061,89.3,375256,"10 of 3141"
"Hidalgo County",48215,91.8,770794,"9 of 3141"
"Zavala County",48507,93.6,11374,"8 of 3141"
"Jim Hogg County",48247,93.8,4938,"7 of 3141"
"Zapata County",48505,94.1,13560,"6 of 3141"
"Brooks County",48047,94.1,6824,"5 of 3141"
"Maverick County",48323,95.3,54767,"4 of 3141"
"Webb County",48479,95.5,257482,"3 of 3141"
"Starr County",48427,99.2,62903,"1 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Hispanic, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
