"NAME","YEAR","NAICS2017","NAICS2017_LABEL","ESTAB","EMP","PAYANN","state",
"Commonwealth of the Northern Mariana Islands","2017","624","Social assistance","17","131","2015","69",
"Commonwealth of the Northern Mariana Islands","2017","6241","Individual and family services","4","25","616","69",
"Commonwealth of the Northern Mariana Islands","2017","6242","Community food and housing, and emergency and other relief services","3","16","578","69",
"Commonwealth of the Northern Mariana Islands","2017","6244","Child day care services","10","90","821","69",
"Commonwealth of the Northern Mariana Islands","2017","811310","Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance","6","56","1136","69",
"Commonwealth of the Northern Mariana Islands","2017","8114","Personal and household goods repair and maintenance","12","33","438","69",
"Commonwealth of the Northern Mariana Islands","2017","81141","Home and garden equipment and appliance repair and maintenance","5","22","316","69",
"Commonwealth of the Northern Mariana Islands","2017","811412","Appliance repair and maintenance","5","22","316","69",
"Commonwealth of the Northern Mariana Islands","2017","81149","Other personal and household goods repair and maintenance","5","5","40","69",
"Commonwealth of the Northern Mariana Islands","2017","811490","Other personal and household goods repair and maintenance","5","5","40","69",
"Commonwealth of the Northern Mariana Islands","2017","812","Personal and laundry services","58","275","3354","69",
"Commonwealth of the Northern Mariana Islands","2017","236","Construction of buildings","72","1837","20551","69",
"Commonwealth of the Northern Mariana Islands","2017","2361","Residential building construction","54","1022","12462","69",
"Commonwealth of the Northern Mariana Islands","2017","44314","Electronics and appliance stores","15","160","2355","69",
"Commonwealth of the Northern Mariana Islands","2017","443142","Electronics stores","13","157","2339","69",
"Commonwealth of the Northern Mariana Islands","2017","444","Building material and garden equipment and supplies dealers","12","127","1805","69",
"Commonwealth of the Northern Mariana Islands","2017","4441","Building material and supplies dealers","11","126","1802","69",
"Commonwealth of the Northern Mariana Islands","2017","48412","General freight trucking, long-distance","4","10","199","69",
"Commonwealth of the Northern Mariana Islands","2017","44413","Hardware stores","9","0","0","69",
"Commonwealth of the Northern Mariana Islands","2017","484121","General freight trucking, long-distance, truckload","4","10","199","69",
"Commonwealth of the Northern Mariana Islands","2017","485","Transit and ground passenger transportation","11","39","374","69",
"Commonwealth of the Northern Mariana Islands","2017","4853","Taxi and limousine service","9","12","117","69",
"Commonwealth of the Northern Mariana Islands","2017","48531","Taxi service","9","12","117","69",
"Commonwealth of the Northern Mariana Islands","2017","485310","Taxi service","9","12","117","69",
"Commonwealth of the Northern Mariana Islands","2017","487","Scenic and sightseeing transportation","10","136","1476","69",
"Commonwealth of the Northern Mariana Islands","2017","54121","Accounting, tax preparation, bookkeeping, and payroll services","14","76","2774","69",
"Commonwealth of the Northern Mariana Islands","2017","541211","Offices of certified public accountants","9","64","1736","69",
"Commonwealth of the Northern Mariana Islands","2017","541219","Other accounting services","4","0","0","69",
"Commonwealth of the Northern Mariana Islands","2017","5413","Architectural, engineering, and related services","22","128","3840","69",
"Commonwealth of the Northern Mariana Islands","2017","62441","Child day care services","10","90","821","69",
"Commonwealth of the Northern Mariana Islands","2017","624410","Child day care services","10","90","821","69",
"Commonwealth of the Northern Mariana Islands","2017","71","Arts, entertainment, and recreation","56","434","7344","69",
"Commonwealth of the Northern Mariana Islands","2017","713","Amusement, gambling, and recreation industries","54","415","7056","69",
"Commonwealth of the Northern Mariana Islands","2017","8121","Personal care services","41","167","1616","69",
"Commonwealth of the Northern Mariana Islands","2017","81211","Hair, nail, and skin care services","24","53","547","69",
"Commonwealth of the Northern Mariana Islands","2017","812112","Beauty salons","22","48","505","69",
"Commonwealth of the Northern Mariana Islands","2017","23611","Residential building construction","54","1022","12462","69",
"Commonwealth of the Northern Mariana Islands","2017","236115","New single-family housing construction (except for-sale builders)","12","407","3175","69",
"Commonwealth of the Northern Mariana Islands","2017","444130","Hardware stores","9","0","0","69",
"Commonwealth of the Northern Mariana Islands","2017","445","Food and beverage stores","108","872","10547","69",
"Commonwealth of the Northern Mariana Islands","2017","4451","Grocery stores","92","757","9163","69",
"Commonwealth of the Northern Mariana Islands","2017","4872","Scenic and sightseeing transportation, water","8","70","570","69",
"Commonwealth of the Northern Mariana Islands","2017","48721","Scenic and sightseeing transportation, water","8","70","570","69",
"Commonwealth of the Northern Mariana Islands","2017","487210","Scenic and sightseeing transportation, water","8","70","570","69",
"Commonwealth of the Northern Mariana Islands","2017","488","Support activities for transportation","14","739","15800","69",
"Commonwealth of the Northern Mariana Islands","2017","4881","Support activities for air transportation","5","482","11278","69",
"Commonwealth of the Northern Mariana Islands","2017","48811","Airport operations","5","482","11278","69",
"Commonwealth of the Northern Mariana Islands","2017","488119","Other airport operations","5","482","11278","69",
"Commonwealth of the Northern Mariana Islands","2017","4883","Support activities for water transportation","3","0","0","69",
"Commonwealth of the Northern Mariana Islands","2017","54133","Engineering services","15","86","2817","69",
"Commonwealth of the Northern Mariana Islands","2017","541330","Engineering services","15","86","2817","69",
"Commonwealth of the Northern Mariana Islands","2017","54137","Surveying and mapping (except geophysical) services","4","15","261","69",
"Commonwealth of the Northern Mariana Islands","2017","541370","Surveying and mapping (except geophysical) services","4","15","261","69",
"Commonwealth of the Northern Mariana Islands","2017","5414","Specialized design services","4","7","307","69",
"Commonwealth of the Northern Mariana Islands","2017","54143","Graphic design services","3","6","138","69",
"Commonwealth of the Northern Mariana Islands","2017","541430","Graphic design services","3","6","138","69",
"Commonwealth of the Northern Mariana Islands","2017","5415","Computer systems design and related services","4","0","0","69",
"Commonwealth of the Northern Mariana Islands","2017","54151","Computer systems design and related services","4","0","0","69",
"Commonwealth of the Northern Mariana Islands","2017","7131","Amusement parks and arcades","9","61","1134","69",
"Commonwealth of the Northern Mariana Islands","2017","71312","Amusement arcades","9","61","1134","69",
"Commonwealth of the Northern Mariana Islands","2017","713120","Amusement arcades","9","61","1134","69",
"Commonwealth of the Northern Mariana Islands","2017","7132","Gambling industries","18","125","1876","69",
"Commonwealth of the Northern Mariana Islands","2017","81219","Other personal care services","17","114","1069","69",
"Commonwealth of the Northern Mariana Islands","2017","812199","Other personal care services","17","114","1069","69",
"Commonwealth of the Northern Mariana Islands","2017","8123","Drycleaning and laundry services","12","95","1598","69",
"Commonwealth of the Northern Mariana Islands","2017","81231","Coin-operated laundries and drycleaners","9","41","731","69",
"Commonwealth of the Northern Mariana Islands","2017","812310","Coin-operated laundries and drycleaners","9","41","731","69",
"Commonwealth of the Northern Mariana Islands","2017","236118","Residential remodelers","40","611","9234","69",
"Commonwealth of the Northern Mariana Islands","2017","2362","Nonresidential building construction","18","815","8089","69",
"Commonwealth of the Northern Mariana Islands","2017","23621","Industrial building construction","3","61","1072","69",
"Commonwealth of the Northern Mariana Islands","2017","236210","Industrial building construction","3","61","1072","69",
"Commonwealth of the Northern Mariana Islands","2017","23622","Commercial and institutional building construction","15","754","7017","69",
"Commonwealth of the Northern Mariana Islands","2017","44511","Supermarkets and other grocery (except convenience) stores","77","683","8231","69",
"Commonwealth of the Northern Mariana Islands","2017","445110","Supermarkets and other grocery (except convenience) stores","77","683","8231","69",
"Commonwealth of the Northern Mariana Islands","2017","48832","Marine cargo handling","3","0","0","69",
"Commonwealth of the Northern Mariana Islands","2017","488320","Marine cargo handling","3","0","0","69",
"Commonwealth of the Northern Mariana Islands","2017","4885","Freight transportation arrangement","6","62","1473","69",
"Commonwealth of the Northern Mariana Islands","2017","48851","Freight transportation arrangement","6","62","1473","69",
"Commonwealth of the Northern Mariana Islands","2017","488510","Freight transportation arrangement","6","62","1473","69",
"Commonwealth of the Northern Mariana Islands","2017","492","Couriers and messengers","3","0","0","69",
"Commonwealth of the Northern Mariana Islands","2017","51","Information","20","452","11726","69",
"Commonwealth of the Northern Mariana Islands","2017","511","Publishing industries (except internet)","4","69","989","69",
"Commonwealth of the Northern Mariana Islands","2017","5111","Newspaper, periodical, book, and directory publishers","3","0","0","69",
"Commonwealth of the Northern Mariana Islands","2017","512","Motion picture and sound recording industries","7","37","398","69",
"Commonwealth of the Northern Mariana Islands","2017","5416","Management, scientific, and technical consulting services","16","79","1960","69",
"Commonwealth of the Northern Mariana Islands","2017","54161","Management consulting services","12","69","1489","69",
"Commonwealth of the Northern Mariana Islands","2017","541611","Administrative management and general management consulting services","7","26","463","69",
"Commonwealth of the Northern Mariana Islands","2017","541613","Marketing consulting services","3","13","253","69",
"Commonwealth of the Northern Mariana Islands","2017","54162","Environmental consulting services","3","9","384","69",
"Commonwealth of the Northern Mariana Islands","2017","541620","Environmental consulting services","3","9","384","69",
"Commonwealth of the Northern Mariana Islands","2017","5419","Other professional, scientific, and technical services","12","28","303","69",
"Commonwealth of the Northern Mariana Islands","2017","71329","Other gambling industries","17","115","1765","69",
"Commonwealth of the Northern Mariana Islands","2017","713290","Other gambling industries","17","115","1765","69",
"Commonwealth of the Northern Mariana Islands","2017","7139","Other amusement and recreation industries","27","229","4046","69",
"Commonwealth of the Northern Mariana Islands","2017","71394","Fitness and recreational sports centers","3","51","932","69",
"Commonwealth of the Northern Mariana Islands","2017","713940","Fitness and recreational sports centers","3","51","932","69",
"Commonwealth of the Northern Mariana Islands","2017","8129","Other personal services","4","9","119","69",
"Commonwealth of the Northern Mariana Islands","2017","813","Religious, grantmaking, civic, professional, and similar organizations","41","143","3548","69",
"Commonwealth of the Northern Mariana Islands","2017","8131","Religious organizations","22","80","2183","69",
"Commonwealth of the Northern Mariana Islands","2017","81311","Religious organizations","22","80","2183","69",
"Commonwealth of the Northern Mariana Islands","2017","813110","Religious organizations","22","80","2183","69",
"Commonwealth of the Northern Mariana Islands","2017","8132","Grantmaking and giving services","3","3","141","69",
"Commonwealth of the Northern Mariana Islands","2017","236220","Commercial and institutional building construction","15","754","7017","69",
"Commonwealth of the Northern Mariana Islands","2017","237","Heavy and civil engineering construction","10","88","4256","69",
"Commonwealth of the Northern Mariana Islands","2017","2371","Utility system construction","4","12","350","69",
"Commonwealth of the Northern Mariana Islands","2017","23711","Water and sewer line and related structures construction","4","12","350","69",
"Commonwealth of the Northern Mariana Islands","2017","237110","Water and sewer line and related structures construction","4","12","350","69",
"Commonwealth of the Northern Mariana Islands","2017","44512","Convenience stores","15","74","932","69",
"Commonwealth of the Northern Mariana Islands","2017","445120","Convenience stores","15","74","932","69",
"Commonwealth of the Northern Mariana Islands","2017","4452","Specialty food stores","13","78","993","69",
"Commonwealth of the Northern Mariana Islands","2017","5121","Motion picture and video industries","7","37","398","69",
"Commonwealth of the Northern Mariana Islands","2017","51211","Motion picture and video production","4","11","149","69",
"Commonwealth of the Northern Mariana Islands","2017","512110","Motion picture and video production","4","11","149","69",
"Commonwealth of the Northern Mariana Islands","2017","515","Broadcasting (except internet)","4","30","584","69",
"Commonwealth of the Northern Mariana Islands","2017","5151","Radio and television broadcasting","3","25","445","69",
"Commonwealth of the Northern Mariana Islands","2017","517","Telecommunications","3","0","0","69",
"Commonwealth of the Northern Mariana Islands","2017","5173","Wired and wireless telecommunications carriers","3","0","0","69",
"Commonwealth of the Northern Mariana Islands","2017","51731","Wired and wireless telecommunications carriers","3","0","0","69",
"Commonwealth of the Northern Mariana Islands","2017","52","Finance and insurance","49","298","8240","69",
"Commonwealth of the Northern Mariana Islands","2017","522","Credit intermediation and related activities","21","139","3747","69",
"Commonwealth of the Northern Mariana Islands","2017","54192","Photographic services","6","13","118","69",
"Commonwealth of the Northern Mariana Islands","2017","541921","Photography studios, portrait","4","9","97","69",
"Commonwealth of the Northern Mariana Islands","2017","54193","Translation and interpretation services","5","14","167","69",
"Commonwealth of the Northern Mariana Islands","2017","541930","Translation and interpretation services","5","14","167","69",
"Commonwealth of the Northern Mariana Islands","2017","55","Management of companies and enterprises","6","45","1160","69",
"Commonwealth of the Northern Mariana Islands","2017","551","Management of companies and enterprises","6","45","1160","69",
"Commonwealth of the Northern Mariana Islands","2017","5511","Management of companies and enterprises","6","45","1160","69",
