"GEO_ID","GEO_TTL","COUNTY","YEAR","NAICS2002_TTL","ESTAB","EMP","PAYANN","state","county",
"0500000US13007","Baker, GA","007","2007","Total","31","286","7998","13","007",
"0500000US13005","Bacon, GA","005","2007","Total","219","2733","70347","13","005",
"0500000US13261","Sumter, GA","261","2007","Total","705","9874","250066","13","261",
"0500000US13009","Baldwin, GA","009","2007","Total","865","13953","374335","13","009",
"0500000US13001","Appling, GA","001","2007","Total","405","5605","208378","13","001",
"0500000US13003","Atkinson, GA","003","2007","Total","88","1063","30107","13","003",
"0500000US13011","Banks, GA","011","2007","Total","298","3693","83327","13","011",
"0500000US13013","Barrow, GA","013","2007","Total","1121","13090","418731","13","013",
"0500000US13017","Ben Hill, GA","017","2007","Total","379","6889","194062","13","017",
"0500000US13015","Bartow, GA","015","2007","Total","2139","31375","1036829","13","015",
"0500000US13019","Berrien, GA","019","2007","Total","299","4233","132189","13","019",
"0500000US13021","Bibb, GA","021","2007","Total","4451","74866","2487992","13","021",
