------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"Kimble County",48267,90.5,4013,"1508 of 3141"
"Kerr County",48265,90.6,45974,"1505 of 3141"
"Comal County",48091,90.6,116933,"1504 of 3141"
"Briscoe County",48045,90.6,1442,"1498 of 3141"
"Dallam County",48111,90.9,6552,"1462 of 3141"
"Kendall County",48259,90.9,36644,"1461 of 3141"
"Live Oak County",48297,91.0,10954,"1457 of 3141"
"Presidio County",48377,91.0,6544,"1451 of 3141"
"Fisher County",48151,91.0,3527,"1448 of 3141"
"Zavala County",48507,91.4,11106,"1406 of 3141"
"Kent County",48263,91.5,622,"1398 of 3141"
"Baylor County",48023,91.5,3295,"1397 of 3141"
"Sherman County",48421,91.5,2806,"1396 of 3141"
"Johnson County",48251,91.5,146545,"1395 of 3141"
"Runnels County",48399,91.5,9395,"1390 of 3141"
"Crosby County",48107,91.6,5397,"1386 of 3141"
"Sterling County",48431,91.6,1043,"1381 of 3141"
"Erath County",48143,91.6,37586,"1372 of 3141"
"Cooke County",48097,91.7,35827,"1363 of 3141"
"Brown County",48049,91.7,34664,"1360 of 3141"
"Andrews County",48003,91.8,16134,"1351 of 3141"
"Palo Pinto County",48363,91.8,25803,"1350 of 3141"
"Donley County",48129,91.8,3153,"1343 of 3141"
"Hardin County",48199,91.9,51450,"1338 of 3141"
"Eastland County",48133,91.9,16797,"1337 of 3141"
"Blanco County",48031,91.9,10194,"1332 of 3141"
"Brewster County",48043,92.1,8495,"1300 of 3141"
"Hansford County",48195,92.2,5098,"1298 of 3141"
"Jack County",48237,92.2,8151,"1289 of 3141"
"Coleman County",48083,92.2,7768,"1286 of 3141"
"Atascosa County",48013,92.3,44416,"1284 of 3141"
"Bandera County",48019,92.3,19669,"1281 of 3141"
"San Patricio County",48409,92.3,61748,"1278 of 3141"
"Hemphill County",48211,92.5,3841,"1256 of 3141"
"Val Verde County",48465,92.5,45317,"1254 of 3141"
"Castro County",48069,92.6,7309,"1243 of 3141"
"Gillespie County",48171,92.6,24031,"1238 of 3141"
"Somervell County",48425,92.8,8024,"1217 of 3141"
"Maverick County",48323,93.3,53649,"1123 of 3141"
"Parker County",48367,93.4,117684,"1111 of 3141"
"Van Zandt County",48467,93.5,50119,"1104 of 3141"
"Gaines County",48165,93.6,18607,"1092 of 3141"
"Wilson County",48493,93.6,44176,"1083 of 3141"
"Llano County",48299,93.6,18911,"1071 of 3141"
"Dimmit County",48127,93.7,10135,"1070 of 3141"
"Wise County",48497,93.8,59315,"1046 of 3141"
"Cameron County",48061,94.0,394799,"1024 of 3141"
"Burnet County",48053,94.0,42299,"1020 of 3141"
"Floyd County",48153,94.0,5597,"1011 of 3141"
"Bosque County",48035,94.3,16924,"976 of 3141"
"Stonewall County",48433,94.3,1022,"968 of 3141"
"Armstrong County",48011,94.4,1821,"948 of 3141"
"Clay County",48077,94.5,9802,"918 of 3141"
"Archer County",48009,94.5,8313,"915 of 3141"
"Callahan County",48059,94.6,12923,"902 of 3141"
"McMullen County",48311,94.8,569,"861 of 3141"
"Zapata County",48505,94.9,13681,"843 of 3141"
"Montague County",48337,95.0,18427,"833 of 3141"
"Starr County",48427,95.1,60326,"805 of 3141"
"Comanche County",48093,95.2,12838,"800 of 3141"
"Webb County",48479,95.2,256620,"791 of 3141"
"Carson County",48065,95.3,5752,"768 of 3141"
"Hood County",48221,95.4,52885,"754 of 3141"
"Young County",48503,95.6,17359,"719 of 3141"
"Hamilton County",48193,95.7,7863,"697 of 3141"
"Yoakum County",48501,95.9,8135,"625 of 3141"
"Kenedy County",48261,95.9,541,"623 of 3141"
"Willacy County",48489,95.9,20950,"621 of 3141"
"Jeff Davis County",48243,96.1,2148,"588 of 3141"
"Jim Wells County",48249,96.2,39731,"566 of 3141"
"Shackelford County",48417,96.7,3239,"398 of 3141"
"Kinney County",48271,96.8,3513,"396 of 3141"
"Concho County",48095,97.3,3752,"257 of 3141"
"Roberts County",48393,97.5,867,"187 of 3141"
"Jim Hogg County",48247,97.7,5141,"155 of 3141"
"Mills County",48333,98.0,4789,"93 of 3141"
"Throckmorton County",48447,98.3,1515,"54 of 3141"
