------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"Gaines County",48165,10.7,609,"3068 of 3140"
"Crane County",48103,10.7,158,"3069 of 3140"
"Garza County",48169,10.8,185,"3071 of 3140"
"Edwards County",48137,10.9,69,"3074 of 3140"
"Deaf Smith County",48117,11.1,681,"3076 of 3140"
"Glasscock County",48173,11.2,53,"3077 of 3140"
"Dimmit County",48127,11.5,401,"3080 of 3140"
"Dallas County",48113,11.5,104612,"3081 of 3140"
"Bailey County",48017,11.7,260,"3083 of 3140"
"Harris County",48201,11.9,185421,"3085 of 3140"
"Frio County",48163,12.4,560,"3088 of 3140"
"Reagan County",48383,12.4,145,"3089 of 3140"
"Reeves County",48389,13.1,487,"3097 of 3140"
"Val Verde County",48465,13.2,2004,"3099 of 3140"
"Moore County",48341,13.4,901,"3103 of 3140"
"Dallam County",48111,13.8,335,"3104 of 3140"
"Hansford County",48195,14.2,274,"3106 of 3140"
"Willacy County",48489,14.6,835,"3108 of 3140"
"Cochran County",48079,14.8,148,"3109 of 3140"
"Castro County",48069,15.6,384,"3112 of 3140"
"Pecos County",48371,16.2,716,"3115 of 3140"
"Brooks County",48047,16.5,333,"3117 of 3140"
"Yoakum County",48501,17.0,452,"3118 of 3140"
"Jim Hogg County",48247,17.5,277,"3121 of 3140"
"Cameron County",48061,17.6,21528,"3123 of 3140"
"Zavala County",48507,17.6,623,"3123 of 3140"
"Hidalgo County",48215,20.4,47408,"3128 of 3140"
"La Salle County",48283,20.6,470,"3129 of 3140"
"Webb County",48479,22.4,16180,"3131 of 3140"
"El Paso County",48141,22.4,58865,"3132 of 3140"
"Culberson County",48109,28.2,207,"3134 of 3140"
"Maverick County",48323,31.8,5216,"3135 of 3140"
"Zapata County",48505,32.5,1450,"3136 of 3140"
"Hudspeth County",48229,34.2,304,"3137 of 3140"
"Presidio County",48377,35.8,927,"3138 of 3140"
"Starr County",48427,40.5,6613,"3139 of 3140"
"Kenedy County",48261,46.7,71,"3140 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Non-English Language: Language isolation, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#non-english."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
A "limited English speaking household" is one in which no member 14 years old and over (1) speaks only English or (2) speaks a non-English language and speaks English "very well."
Data for United States does not include Puerto Rico.
